id,title,author,year,canonical_id
954,Event seven collection,Eric Carney,1945,eric-carney-954
955,Majority shake,Elizabeth Fowler,1821,elizabeth-fowler-955
956,Can its,Daniel Wagner,1839,daniel-wagner-956
957,Idea whole himself,Monica Herrera,1993,monica-herrera-957
958,None,Brittany Farmer,1812,brittany-farmer-958
959,Room wear,Anthony Humphrey,1820,anthony-humphrey-959
960,Series most adult,Derek Zuniga,1913,derek-zuniga-960
961,Produce,Sherry Decker,1908,sherry-decker-961
962,Difficult theory,James Ferrell,1955,james-ferrell-962
963,Can himself,Zachary Hicks,1906,zachary-hicks-963
964,Fill assume animal way,Derek Zuniga,1855,derek-zuniga-964
965,Road others full,Joshua Blair,1931,joshua-blair-965
966,Garden top,Gina Moore,1888,gina-moore-966
967,Seek close trade,Stephanie Ross,1828,stephanie-ross-967
968,Affect difference world,Lisa Jackson,1973,lisa-jackson-968
969,Safe operation,Anthony Humphrey,1951,anthony-humphrey-969
970,But represent,James Ferrell,1934,james-ferrell-970
971,How,Sherry Decker,1878,sherry-decker-971
972,Side perhaps,Angie Henderson,1856,angie-henderson-972
973,Yes product president after,Judy Baker,1953,judy-baker-973
974,Indicate herself,Daniel Wagner,1801,daniel-wagner-974
975,Education reduce day,Michele Williams,1877,michele-williams-975
976,Act inside big minute,Michele Williams,1996,michele-williams-976
977,Paper case store bit,Gabrielle Davis,1995,gabrielle-davis-977
978,Brother box blood cup,Holly Wood,1874,holly-wood-978
979,Sing story,Margaret Hawkins DDS,1830,margaret-hawkins-dds-979
980,Group important,Allison Hill,1927,allison-hill-980
981,Always many,Shane Henderson,1910,shane-henderson-981
982,Read lose,Jamie Arnold,1833,jamie-arnold-982
983,Able public,Matthew Foster,1936,matthew-foster-983
984,Structure protect,Philip Cannon,1858,philip-cannon-984
985,We single,Tricia Valencia,1943,tricia-valencia-985
986,Rich big,Sherry Decker,2006,sherry-decker-986
987,Popular lead,Ethan Adams,1818,ethan-adams-987
988,Enough anyone,Judy Baker,2020,judy-baker-988
989,Them system,Shane Henderson,1810,shane-henderson-989
990,Soon fine school,Stephanie Ross,1804,stephanie-ross-990
991,Surface three,Anthony Rodriguez,1819,anthony-rodriguez-991
992,Together,Margaret Hawkins DDS,1947,margaret-hawkins-dds-992
993,Professional color,Stephanie Ross,1946,stephanie-ross-993
994,Thus western environmental,Judy Baker,1981,judy-baker-994
995,Head garden,Paula Moreno,1906,paula-moreno-995
996,Husband while,Lisa Jackson,1829,lisa-jackson-996
997,Structure ready,Judy Baker,1805,judy-baker-997
998,Son power someone,Margaret Hawkins DDS,1843,margaret-hawkins-dds-998
999,Car risk,Brittany Farmer,1917,brittany-farmer-999
1000,Billion treat,Angelica Tucker,1892,angelica-tucker-1000
